Question,Solution,Verdict,Memory,Grade,Errors,B,EC,E,BC,ED
q1,s1,accepted,0.0M,9,1,0,0,0,0,0
q1,s10,accepted,0.0M,10,0,0,0,0,0,0
q1,s11,accepted,0.0M,9,1,0,0,0,0,0
q1,s12,accepted,0.0M,9,1,0,0,0,0,0
q1,s13,accepted,0.0M,10,0,0,0,0,0,0
q1,s14,accepted,0.0M,9,1,0,0,0,0,0
q1,s15,accepted,0.0M,9,1,0,0,0,0,0
q1,s16,wrong answer,0.0M,7,1,10.4285714285714,12.5,15.5714285714286,11.3571428571429,15.5
q1,s17,wrong answer,0.0M,6,1,10.96,23.04,14,18.32,23.72
q1,s18,wrong answer,0.0M,6,1,10.28,20,12.16,16.64,15
q1,s19,wrong answer,0.0M,8,1,9.68,18.24,11.72,16.52,10.6
q1,s2,accepted,0.0M,10,0,0,0,0,0,0
q1,s20,wrong answer,0.0M,5,1,9.68,18.24,11.72,16.52,8.28
q1,s21,wrong answer,0.0M,6,1,6.64,12.84,8.48,8.56,4.72
q1,s22,wrong answer,0.0M,8,1,5.52,7.32,5.76,8.12,2.88
q1,s23,wrong answer,0.0M,5,1,4.2,5.08,4.4,5.64,0.36
q1,s24,wrong answer,0.0M,7,1,2.6,4.52,2.92,4,0.12
q1,s25,wrong answer,0.0M,6,1,1.96,3.56,2.64,3,0
q1,s26,wrong answer,0.0M,3,4,14.12,15.02,19.34,17.35,20.648
q1,s27,wrong answer,0.0M,3,4,14.12,14.954,17,16.654,20.248
q1,s28,wrong answer,0.0M,2,5,16.365,15.02,19.36,17.35,21.648
q1,s29,wrong answer,0.0M,2,5,13.12,14.012,18.35,21.35,22.648
q1,s3,accepted,0.0M,9,1,0,0,0,0,0
q1,s4,accepted,0.0M,9,1,0,0,0,0,0
q1,s5,accepted,0.0M,10,0,0,0,0,0,0
q1,s6,accepted,0.0M,10,0,0,0,0,0,0
q1,s7,accepted,0.0M,10,0,0,0,0,0,0
q1,s8,accepted,0.0M,9,1,0,0,0,0,0
q1,s9,accepted,0.0M,10,0,0,0,0,0,0
q2,s1,accepted,0.0M,9,1,0,0,0,0,0
q2,s10,accepted,0.0M,10,0,0,0,0,0,0
q2,s11,accepted,0.0M,10,0,0,0,0,0,0
q2,s12,accepted,0.0M,9,1,0,0,0,0,0
q2,s13,accepted,0.0M,9,1,0,0,0,0,0
q2,s14,accepted,0.0M,10,0,0,0,0,0,0
